run_id,experiment_id,status,start_time,end_time,tags.mlflow.runName,metrics.n_parameters,metrics.rolling_forecast_mae,metrics.rolling_forecast_mse,metrics.rolling_forecast_smape,params.h,params.input_size,params.max_steps,params.lr,params.learning_rate
2f8e95dcc66b401a88a9742753f6f9c2,769503152781081453,FAILED,2025-09-09 01:20:03.645000+00:00,2025-09-09 01:20:12.649000+00:00,PatchTST run 1,419620.0,,,,12,72,100,,0.001
6fd7579333404b3faf9a5fee590bff03,769503152781081453,FAILED,2025-09-09 01:20:03.615000+00:00,2025-09-09 01:20:12.649000+00:00,PatchTST run 1,,,,,,,,,
81e557915fad4f08a7000889dedfdc45,769503152781081453,FAILED,2025-09-09 01:19:07.935000+00:00,2025-09-09 01:19:08.482000+00:00,PatchTST run 1,,,,,12,72,100,,0.001
851cc3ed58854d0ab464e561dea7843a,769503152781081453,FAILED,2025-09-09 01:19:07.902000+00:00,2025-09-09 01:19:08.483000+00:00,PatchTST run 1,,,,,,,,,
7030b362b9e74053bfce717180626cbc,190845828729457433,FINISHED,2025-09-03 10:20:49.057000+00:00,2025-09-03 10:29:25.360000+00:00,NHITS_run,9350145.0,,,,12,72,100,1e-3,
a46948135cb643f4a21829d9d45d27a5,190845828729457433,FAILED,2025-09-03 10:12:14.346000+00:00,2025-09-03 10:18:48.841000+00:00,NHITS_run,,,,,,,,,
a268fac0063142319dbb9d33026d376d,190845828729457433,FAILED,2025-09-03 10:05:21.020000+00:00,2025-09-03 10:11:48.269000+00:00,NHITS_run,,,,,,,,,
1114e99b55fa40a181b7d503d6092e7a,190845828729457433,FAILED,2025-09-03 08:56:25.951000+00:00,2025-09-03 09:02:12.219000+00:00,NHITS_run,,,,,,,,,
2da08c51f87f4ab4aeebdf2a53c47a44,190845828729457433,FAILED,2025-09-03 08:53:40.936000+00:00,2025-09-03 08:55:26.288000+00:00,NHITS_run,,,,,,,,,
c9589da0076945b8b2f9e3088a40fed9,190845828729457433,FINISHED,2025-09-03 08:41:19.781000+00:00,2025-09-03 08:47:27.936000+00:00,NHITS_run,9350145.0,,,,12,72,100,1e-3,
052a3076e15f42468190b1aa99d1774f,190845828729457433,FAILED,2025-09-03 07:59:01.429000+00:00,2025-09-03 08:05:24.495000+00:00,NHITS_run,,,,,,,,,
870cd5c8a0d6408a9af256270e98f69a,190845828729457433,FAILED,2025-09-03 07:49:53.557000+00:00,2025-09-03 07:57:25.932000+00:00,NHITS_run,,,,,,,,,
