y,ds,unique_id,index,TimesNet,TimesNet-median,TimesNet-lo-100,TimesNet-lo-95,TimesNet-lo-90,TimesNet-lo-85,TimesNet-lo-80,TimesNet-hi-80,TimesNet-hi-85,TimesNet-hi-90,TimesNet-hi-95,TimesNet-hi-100
232.0,2025-06-10 13:20:00,series_1,4,271.33612,272.18976,190.93869,237.35165,247.17287,250.77972,252.78806,289.8848,291.87057,294.832,302.27155,334.46777
246.0,2025-06-10 13:30:00,series_1,6,273.0542,273.20416,147.93405,246.38835,251.2315,253.54057,256.69263,290.45853,292.67072,296.86563,304.76447,362.0999
298.0,2025-06-10 13:40:00,series_1,8,266.80487,266.92093,186.54398,234.82939,240.99919,244.02887,246.38373,287.8482,289.99817,294.91165,300.60614,361.2526
228.0,2025-06-10 14:10:00,series_1,2,253.12628,253.01083,155.40424,226.02913,231.40161,234.19742,236.44781,268.91437,271.90714,275.9234,282.535,327.29816
227.0,2025-06-10 14:15:00,series_1,3,253.24136,253.47124,72.49019,223.08769,228.40517,232.65273,235.78867,270.80048,273.64087,278.171,285.31036,356.54196
239.0,2025-06-10 16:55:00,series_1,11,300.96075,300.48248,87.47386,227.25058,246.5604,254.31284,259.57867,342.12936,346.8656,355.54675,371.65393,479.8001
236.0,2025-06-10 17:05:00,series_1,1,284.63486,284.28992,122.00418,230.92252,245.76323,251.72926,256.22156,312.70193,318.09668,325.9725,337.16702,439.70587
239.0,2025-06-10 17:25:00,series_1,5,285.93268,285.9629,148.54848,230.02539,242.91942,248.91304,253.81839,318.52252,323.43503,330.89285,343.2279,464.12885
240.0,2025-06-10 17:35:00,series_1,7,290.87936,291.12476,126.947876,227.38747,244.26816,251.64954,257.3844,326.0438,330.4661,336.1688,354.1125,432.60376
347.0,2025-06-10 19:15:00,series_1,3,294.26443,295.23596,109.698654,233.80162,250.79068,256.4884,261.39224,325.65207,330.0269,334.84653,347.00024,438.20895
353.0,2025-06-10 19:20:00,series_1,4,292.3162,293.83746,156.48256,224.45032,244.72906,250.89767,258.16446,325.67242,330.1559,340.13052,352.96042,441.26917
351.0,2025-06-10 19:25:00,series_1,5,297.3596,297.49023,156.19254,241.52623,252.1226,260.5545,265.47974,329.02527,334.20667,342.37314,354.42075,419.54822
364.0,2025-06-10 19:45:00,series_1,9,295.7746,293.93463,165.64685,225.48412,237.1336,245.25056,251.35158,342.06442,348.016,356.6703,373.6041,528.1995
382.0,2025-06-10 19:55:00,series_1,11,299.06732,298.3542,108.15646,222.96457,241.49753,249.3341,254.71918,345.57904,353.0127,365.6015,380.08722,493.10803
392.0,2025-06-10 21:00:00,series_1,0,433.04858,433.0522,303.79388,391.15213,398.76562,404.6848,408.45248,456.93494,460.4479,464.5925,474.49536,580.74786
374.0,2025-06-10 21:05:00,series_1,1,433.82593,433.0928,286.4577,386.9936,396.8542,402.16916,405.34277,462.72797,468.78192,474.73947,485.1644,538.49207
377.0,2025-06-10 21:10:00,series_1,2,438.14728,438.07495,283.36865,385.5442,395.82452,401.9364,408.42877,468.49396,473.82294,479.40933,486.29156,560.60815
333.0,2025-06-10 21:20:00,series_1,4,434.5201,436.579,250.23267,365.19653,386.91647,394.67807,400.37378,468.3029,472.50946,478.07388,491.16022,611.8185
311.0,2025-06-10 21:25:00,series_1,5,435.05823,435.153,194.54034,365.05997,378.68933,388.57156,395.68347,475.42688,479.88992,488.343,502.21625,714.89795
292.0,2025-06-10 21:30:00,series_1,6,437.27502,438.5548,172.52646,369.05838,384.11932,392.33356,397.87067,476.4655,481.8021,493.86646,508.7273,573.35297
331.0,2025-06-10 21:35:00,series_1,7,445.52774,446.03976,228.22627,371.97275,386.0137,394.73157,400.6101,490.68604,495.5731,505.02744,515.95764,597.63934
329.0,2025-06-10 21:40:00,series_1,8,443.38138,442.89694,328.45572,378.18967,391.8677,397.6942,402.9823,483.46667,488.77118,497.8137,518.5425,591.3744
343.0,2025-06-10 21:45:00,series_1,9,453.5966,453.2986,292.1944,372.82007,394.65982,404.389,413.0498,497.28027,501.6676,509.78125,522.142,659.58594
325.0,2025-06-10 21:50:00,series_1,10,447.71265,446.60712,32.80591,372.6927,382.98224,393.55252,400.1451,495.7824,503.74905,510.92923,524.76245,651.3733
289.0,2025-06-10 21:55:00,series_1,11,451.50143,450.59695,307.8083,364.4555,378.40836,387.01794,395.84885,502.97772,510.46878,520.7912,543.0911,990.51825
198.0,2025-06-10 23:25:00,series_1,5,133.10925,132.99797,38.503647,97.62489,105.94156,111.23473,114.34515,151.63446,155.07454,159.30214,167.33405,227.76582
183.0,2025-06-10 23:30:00,series_1,6,129.59033,129.23607,-65.31535,93.54306,101.908134,107.04698,110.42863,150.71843,154.41942,159.29471,166.9241,358.56424
182.0,2025-06-10 23:35:00,series_1,7,123.85575,123.98857,-326.99683,84.8362,96.01981,100.6382,103.771774,144.62347,147.49797,154.35533,163.00137,244.65118
172.0,2025-06-10 23:40:00,series_1,8,119.66191,119.62865,-10.7504425,87.33229,94.738014,98.712685,100.93621,138.90578,142.08984,147.2301,154.90942,213.84473
70.0,2025-06-11 00:15:00,series_1,3,97.13742,97.40349,-97.178375,66.74851,72.690956,76.1964,79.475006,113.35942,116.05982,121.34436,129.67061,231.38055
52.0,2025-06-11 00:35:00,series_1,7,83.58964,83.511696,-31.028564,46.396557,56.674095,61.692112,65.14785,103.36035,105.803505,109.24531,117.04921,201.8288
47.0,2025-06-11 00:50:00,series_1,10,75.46668,75.1931,-42.895226,40.083473,49.710297,53.481552,55.58101,95.04032,98.17849,102.35159,112.28546,260.71777
80.0,2025-06-11 01:30:00,series_1,6,40.774517,41.341415,-93.510345,0.2405517,10.013891,14.733045,18.61525,63.361767,65.91199,72.32142,82.72435,144.18472
84.0,2025-06-11 01:45:00,series_1,9,42.361763,41.657616,-48.319183,-2.3044088,7.0385895,14.608114,17.99536,66.05438,69.92798,74.51145,83.84801,389.39337
70.0,2025-06-11 05:10:00,series_1,2,41.29482,41.541443,-27.63198,16.402187,21.563147,25.30351,26.86746,55.527866,58.221306,60.986618,65.76159,87.948044
71.0,2025-06-11 05:20:00,series_1,4,41.34357,42.257233,-94.271164,7.056952,17.389656,20.282532,23.076735,59.454334,62.59731,67.25186,72.39337,101.54668
85.0,2025-06-11 05:25:00,series_1,5,46.78321,46.13316,-52.506546,8.388474,17.331429,22.840643,24.995422,67.704506,71.171005,77.51544,87.47941,156.63092
92.0,2025-06-11 05:30:00,series_1,6,49.913174,49.9902,-46.736446,5.9933434,14.868043,20.307564,26.09182,73.65223,79.06874,85.545555,93.587975,303.341
123.0,2025-06-11 05:35:00,series_1,7,57.25772,57.19071,-106.12056,-4.429916,8.856273,19.405334,25.181055,90.09208,94.39376,102.00423,115.3082,364.86868
108.0,2025-06-11 05:40:00,series_1,8,54.316395,55.62624,-520.32886,-11.730731,5.420253,16.54327,21.82054,87.610146,94.0219,103.582115,113.637726,177.65521
105.0,2025-06-11 05:45:00,series_1,9,56.07896,55.12619,-97.16699,-3.9777584,8.805174,19.179531,23.234613,91.34197,97.84215,104.63025,120.36698,232.37086
284.0,2025-06-11 12:25:00,series_1,5,256.36618,256.42313,139.11472,221.60468,226.8208,231.17516,235.4628,277.2298,280.63107,283.91257,290.54623,365.08975
229.0,2025-06-11 13:40:00,series_1,8,268.44113,268.26874,151.50534,220.3446,230.98512,236.14752,240.1295,298.15646,302.8793,308.4342,319.05927,446.71155
277.0,2025-06-11 14:00:00,series_1,0,241.9875,241.67451,204.35098,224.69998,228.88457,230.73825,231.9484,251.40967,253.06915,255.6942,259.8187,286.4069
287.0,2025-06-11 14:05:00,series_1,1,235.53967,235.84589,149.06381,213.34862,218.18088,220.32742,222.59644,247.7105,249.70909,251.61902,256.45795,298.06573
314.0,2025-06-11 14:10:00,series_1,2,235.8192,235.61798,177.62344,209.78632,216.67384,221.53706,223.40889,248.91852,251.23929,253.68816,258.89648,309.23767
252.0,2025-06-11 14:20:00,series_1,4,229.3003,230.29376,166.28552,195.03566,204.71344,209.8104,212.41687,246.63568,248.7549,250.99234,256.41797,312.8398
259.0,2025-06-11 14:30:00,series_1,6,226.15219,226.0997,128.39539,195.71815,201.46867,204.8925,207.38994,245.80627,248.40909,254.30116,262.55472,327.23743
202.0,2025-06-11 16:00:00,series_1,0,189.02003,188.98935,146.7765,177.00235,179.54674,181.70268,182.80496,195.32166,196.11531,197.25288,200.62529,221.5853
197.0,2025-06-11 16:05:00,series_1,1,185.10031,184.92966,160.97551,172.5851,175.18707,177.02357,177.96098,192.38528,193.54709,194.49081,197.12735,220.1691
201.0,2025-06-11 16:20:00,series_1,4,178.98778,179.35925,137.18433,164.22983,168.18669,170.285,171.35225,186.47456,187.56306,189.1728,191.66629,251.47607
209.0,2025-06-11 16:25:00,series_1,5,181.56956,181.72745,131.91841,164.6474,168.70924,171.64915,173.05464,189.91255,191.21802,192.83229,197.58276,214.6258
200.0,2025-06-11 16:30:00,series_1,6,178.68076,178.64973,98.11465,164.27017,167.23953,168.7192,170.15433,187.05789,189.15108,191.77376,194.7677,236.14706
208.0,2025-06-11 16:35:00,series_1,7,178.62895,178.60172,107.19666,161.28802,165.1288,167.44337,169.13011,188.21211,189.6774,191.56097,195.00854,247.436
202.0,2025-06-11 16:40:00,series_1,8,181.79959,182.02951,130.12686,163.59076,168.54117,170.62502,171.81282,191.57045,192.94118,195.23819,197.82524,241.89069
207.0,2025-06-11 16:45:00,series_1,9,180.38885,180.29797,133.09111,160.97644,166.08069,168.69116,170.63707,190.65154,192.55318,194.93944,198.79265,245.30511
212.0,2025-06-11 16:50:00,series_1,10,175.8487,175.82147,103.46995,156.15768,161.39218,163.49965,165.02504,186.2675,188.2106,190.18546,194.75687,227.12756
207.0,2025-06-11 16:55:00,series_1,11,179.59682,179.06123,138.30849,158.6083,163.86887,166.15446,167.92981,191.43439,192.97926,195.10454,203.7795,277.15363
343.0,2025-06-11 21:35:00,series_1,7,422.28174,421.07336,210.22281,329.8021,346.90555,360.25095,364.7161,481.6781,488.78476,504.29037,523.14703,667.9335
335.0,2025-06-11 21:40:00,series_1,8,426.3029,427.0224,94.55591,326.5705,355.27615,364.51883,371.44998,483.0966,490.28198,504.20587,525.48645,691.6157
48.0,2025-06-12 05:00:00,series_1,0,36.131516,36.020996,1.7007942,23.88445,26.285162,28.011688,28.972013,42.869514,43.968506,45.623325,48.249588,81.68482
52.0,2025-06-12 05:05:00,series_1,1,32.36812,32.278698,-0.046604156,19.204273,22.208733,23.880388,25.04844,40.06952,40.90203,43.084503,45.32551,61.79804
61.0,2025-06-12 05:10:00,series_1,2,32.75798,32.811836,-5.138073,19.335522,21.64916,23.548815,24.56684,40.554874,42.187195,44.225685,46.708492,73.851395
63.0,2025-06-12 05:15:00,series_1,3,32.16093,32.29946,1.2521229,19.049797,22.26358,23.811434,24.970867,39.442482,40.520092,42.41129,44.02549,60.755535
76.0,2025-06-12 05:20:00,series_1,4,31.666792,32.033844,-27.112377,16.843472,20.715479,22.21111,23.557499,39.737038,41.325485,43.032898,45.38134,55.003777
105.0,2025-06-12 05:25:00,series_1,5,31.847387,31.685333,-7.7026596,17.130526,20.362408,22.57979,23.651196,40.00696,41.538322,43.451294,47.94037,61.843834
112.0,2025-06-12 05:30:00,series_1,6,31.551884,31.45238,2.9917088,15.454917,19.059805,21.17456,22.621489,40.44033,41.880646,44.045864,49.462986,112.21596
102.0,2025-06-12 05:35:00,series_1,7,36.184288,35.816734,-3.9432526,19.028753,22.46151,24.492361,25.881868,46.335762,47.38002,50.05793,54.135117,122.781906
112.0,2025-06-12 05:40:00,series_1,8,31.334558,31.428497,-26.294762,14.320843,18.133514,20.61915,21.675846,41.26474,42.788483,45.0835,47.77122,85.541
114.0,2025-06-12 05:45:00,series_1,9,31.19476,31.124737,-51.950783,10.840944,15.45132,18.499151,20.339134,42.664997,44.10843,46.990734,50.591415,93.68742
130.0,2025-06-12 05:50:00,series_1,10,33.892067,33.83105,-26.503029,12.145661,16.4927,19.251303,20.537037,46.681644,48.496346,52.30883,57.16722,81.58229
133.0,2025-06-12 05:55:00,series_1,11,35.15346,35.072975,-182.74411,11.683493,18.506853,20.99835,22.394577,48.713234,50.930405,54.769684,59.955788,107.612495
